Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
DE,Moselle,FR22054,"49.1874042196733, 6.91086524487126",PM10,EEA France,µg/m³,6.6,2023-10-31T02:00:00+00:00,Germany
DE,Niedersachsen,DENI051,"51.75816, 10.61248",NO,EEA Germany,µg/m³,0.14721,2023-10-31T04:00:00+00:00,Germany
DE,Sachsen,DESN001,"50.570872, 12.997278",NO,EEA Germany,µg/m³,1,2023-10-31T04:00:00+00:00,Germany
DE,Baden-Württemberg,DEBW052,"47.664361, 9.169289",PM2.5,EEA Germany,µg/m³,2,2023-10-31T04:00:00+00:00,Germany
DE,Baden-Württemberg,DEBW080,"49.00796, 8.38719",PM10,EEA Germany,µg/m³,4.3,2023-10-31T04:00:00+00:00,Germany
DE,Baden-Württemberg,DEBW038,"47.660056, 9.485675",PM10,EEA Germany,µg/m³,1.9,2023-10-31T04:00:00+00:00,Germany
DE,Bayern,DEBY005,"49.991518000000006, 9.117973",O3,EEA Germany,µg/m³,59.82,2023-10-31T04:00:00+00:00,Germany
DE,Bayern,DEBY109,"47.968753, 11.220172",O3,EEA Germany,µg/m³,75.84,2023-10-31T04:00:00+00:00,Germany
DE,Niedersachsen,DENI028,"51.50758, 10.23854",NO,EEA Germany,µg/m³,-0.030055,2023-10-31T04:00:00+00:00,Germany
DE,Niedersachsen,DENI143,"53.142836, 8.212084",PM2.5,EEA Germany,µg/m³,11.4667,2023-10-31T04:00:00+00:00,Germany
DE,Niedersachsen,DENI143,"53.142836, 8.212084",CO,EEA Germany,µg/m³,256.656,2023-10-31T04:00:00+00:00,Germany
DE,Saarland,DESL019,"49.416884, 6.552037",O3,EEA Germany,µg/m³,66.68,2023-10-31T04:00:00+00:00,Germany
DE,Hessen,DEHE131,"50.386426, 8.059909",PM2.5,EEA Germany,µg/m³,0.5,2023-10-31T04:00:00+00:00,Germany
DE,Rheinland-Pfalz,DERP010,"50.000973, 8.261277",NO2,EEA Germany,µg/m³,4.24304295,2023-10-31T03:00:00+00:00,Germany
DE,,DENI071,"51.61365, 10.42275",PM10,EEA Germany,µg/m³,30.41,2018-09-21T06:00:00+00:00,Germany
DE,,Frankfurt-Höchst,"50.101870999999996, 8.542052",PM10,EEA Germany,µg/m³,21.31544876,2017-01-06T09:00:00+00:00,Germany
DK,Sjælland,DK0012R,"55.6941046893584, 12.0886287783964",NO,EEA Denmark,µg/m³,15.03,2023-10-31T08:00:00+00:00,Denmark
ES,Murcia,ES1633A,"37.9936111094788, -1.14472222",PM10,EEA Spain,µg/m³,46.46,2023-10-31T08:00:00+00:00,Spain
ES,Asturias,ES1432A,"43.1787999994641, -6.552700000000001",NO,EEA Spain,µg/m³,1,2023-10-31T05:00:00+00:00,Spain
ES,Huelva,ES0823A,"37.1856799994826, -6.96414",PM10,EEA Spain,µg/m³,13.6,2023-10-31T08:00:00+00:00,Spain
ES,Sevilla,ES0817A,"37.3842499994816, -5.95962",SO2,EEA Spain,µg/m³,3,2023-10-31T08:00:00+00:00,Spain
ES,Cádiz,ES0629A,"36.1856199994879, -5.48893",NO,EEA Spain,µg/m³,2,2023-10-31T04:00:00+00:00,Spain
ES,Murcia,ES1627A,"37.9755555494789, -1.23083333",SO2,EEA Spain,µg/m³,4.9,2023-10-31T08:00:00+00:00,Spain
ES,Madrid,ES1564A,"40.5405599994694, -3.64472",NO2,EEA Spain,µg/m³,45,2023-10-31T08:00:00+00:00,Spain
ES,Castellón/Castelló,ES1877A,"39.9452777694712, -0.056388879999999995",CO,EEA Spain,µg/m³,100,2023-10-31T04:00:00+00:00,Spain
ES,Valencia/València,ES0012R,"39.0827799994743, -1.10111",NO2,EEA Spain,µg/m³,3.93,2023-10-31T08:00:00+00:00,Spain
